Nombre del Pedido: P-019, URN: dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6cDJfcHJveWVjdG9zL1RvcnJlJTIwMDElMjBSMjQucnZ0

"EJE/VIGA/LOSA";"ELEM CONST";"PISO";"CICLO";"Cantidad";"Ø mm";"Figura";"L/m";"Uso";"A/cm";"B/cm";"C/cm";"D/cm";"E/cm";"F/cm";"G/cm";"H/cm";"I/cm";"J/cm";"AngV";"AngV2";"AngV3";"R/cm";"Peso Kg";"Id"
"EJE 8";"19";"19";"";0;10;"1.0.0";59.5;"MV";"";"350";"";"";"";"";"";"";;"";"";"";"";"";0.6169977098397517;8482
"EJE 8";"19";"19";"";0;10;"1.0.0";59.5;"MV";"";"350";"";"";"";"";"";"";;"";"";"";"";"";0.6169977098397517;8483
"EJE 8";"19";"19";"";0;16;"1.0.0";6.3;"CB";"";"315";"";"";"";"";"";"";;"";"";"";"";"";1.5799941354081162;8484
"EJE 8";"19";"19";"";0;16;"1.0.0";6.3;"CB";"";"315";"";"";"";"";"";"";;"";"";"";"";"";1.5799941354081162;8485
"EJE 8";"19";"19";"";0;16;"1.0.0";6.3;"CB";"";"315";"";"";"";"";"";"";;"";"";"";"";"";1.5799941354081162;8486
"EJE 8";"19";"19";"";0;16;"1.0.0";6.3;"CB";"";"315";"";"";"";"";"";"";;"";"";"";"";"";1.5799941354081162;8487
"EJE 8";"19";"19";"";0;10;"1.0.0";59.5;"MV";"";"350";"";"";"";"";"";"";;"";"";"";"";"";0.6169977098397517;8488
"EJE 8";"19";"19";"";0;10;"1.0.0";59.5;"MV";"";"350";"";"";"";"";"";"";;"";"";"";"";"";0.6169977098397517;8489
"EJE 10";"19";"19";"";0;10;"2.3.3";51.6;"MH";"9";"16.999999999997414";"397.0000000000004";"";"";"";"9";"";;"";"";"";"";"";0.6169977098397517;8768
"EJE 10";"19";"19";"";0;10;"2.3.3";51.6;"MH";"9";"17";"397.0000000000004";"";"";"";"9";"";;"";"";"";"";"";0.6169977098397517;8769
"EJE 10";"19";"19";"";0;10;"1.0.0";59.5;"MV";"";"350";"";"";"";"";"";"";;"";"";"";"";"";0.6169977098397517;8770
"EJE 10";"19";"19";"";0;10;"1.0.0";59.5;"MV";"";"350";"";"";"";"";"";"";;"";"";"";"";"";0.6169977098397517;8771
"EJE 10";"19";"19";"";0;16;"1.0.0";6.3;"CB";"";"315";"";"";"";"";"";"";;"";"";"";"";"";1.5799941354081162;8772
"EJE 10";"19";"19";"";0;16;"1.0.0";6.3;"CB";"";"315";"";"";"";"";"";"";;"";"";"";"";"";1.5799941354081162;8773
"EJE 10";"19";"19";"";0;16;"1.0.0";6.3;"CB";"";"315";"";"";"";"";"";"";;"";"";"";"";"";1.5799941354081162;8774
"EJE 10";"19";"19";"";0;16;"1.0.0";6.3;"CB";"";"315";"";"";"";"";"";"";;"";"";"";"";"";1.5799941354081162;8775
"EJE 10";"19";"19";"";0;10;"1.0.0";59.5;"MV";"";"350";"";"";"";"";"";"";;"";"";"";"";"";0.6169977098397517;8776
"EJE 10";"19";"19";"";0;10;"1.0.0";59.5;"MV";"";"350";"";"";"";"";"";"";;"";"";"";"";"";0.6169977098397517;8777
"EJE  8 - 10";"19";"19";"";0;10;"1.0.0";101.1;"Losa: Inferior";"";"337.0000000000005";"";"";"";"";"";"";;"";"";"";"";"";0.6169977098397517;8988
"EJE  8 - 10";"19";"19";"";0;8;"1.0.0";119.2;"Losa: Inferior";"";"595.3999999999943";"";"";"";"";"";"";;"";"";"";"";"";0.39499853385202904;8989
"EJE  8 - 10";"19";"19";"";0;10;"5.0.0";164.7;"Losa: Inferior";"";"69.99999999999979";"11.000000000000053";"397.0000000000009";"11.000000000000055";"69.99999999999977";"";"";;"";"";"";"";"";0.6169977098397517;8990
"EJE  8 - 10";"19";"19";"";0;12;"1.0.0";158.8;"Losa: Superior Principal";"";"397.0000000000002";"";"";"";"";"";"";;"";"";"";"";"";0.8879967039508906;8991
"EJE  8 - 10";"19";"19";"";0;12;"1.0.0";154.83;"Losa: Superior Principal";"";"397.0000000000003";"";"";"";"";"";"";;"";"";"";"";"";0.8879967039508906;8992
"EJE  8 - 10";"19";"19";"";0;12;"3.0.0";162.5;"Losa: Superior Principal";"";"595";"9.799999999999995";"25.599999999999927";"";"";"";"";;"";"";"";"";"";0.8879967039508906;9042
